"","x"
"1058",22
"1059",16
"1060",14
"1061",122
"1062",21
"1063",23
"1064",17
"1065",12
"1066",9
"1067",49
"1068",9
"1069",17
"1070",23
"1071",34
"1072",29
"1073",20
"1074",10
"1075",22
"1076",14
"1077",23
"1078",38
"1079",8
"1080",14
"1081",22
"1082",32
"1083",58
"1084",8
"1085",0
"1086",12
"1087",22
"1088",1
"1089",7
"1090",6
"1091",19
"1092",9
"1093",9
"1094",26
"1095",31
"1096",17
"1097",1
"1098",24
"1099",5
"1100",56
"1101",12
"1102",18
"1103",15
"1104",20
"1105",29
"1106",38
"1107",31
"1108",33
"1109",21
"1110",21
"1111",34
"1112",0
"1113",39
"1114",27
"1115",14
"1116",6
"1117",82
"1118",19
"1119",11
"1120",19
"1121",19
"1122",27
"1123",8
"1124",55
"1125",36
"1126",7
"1127",12
"1128",21
"1129",28
"1130",20
"1131",15
"1132",12
"1133",11
"1134",25
"1135",10
"1136",10
"1137",23
"1138",11
"1139",13
"1140",15
"1141",26
"1142",15
"1143",20
"1144",16
"1145",60
"1146",34
"1147",23
"1148",21
"1149",3
"1150",31
"1151",48
"1152",46
"1153",7
"1154",11
"1155",44
"1156",12
"1157",11
"1158",12
"1159",49
"1160",37
"1161",15
"1162",18
"1163",11
"1164",31
"1165",35
"1166",69
"1167",12
"1168",10
"1169",46
"1170",10
"1171",51
"1172",15
"1173",10
"1174",17
"1175",12
"1176",0
"1177",8
"1178",70
"1179",8
"1180",0
"1181",142
"1182",31
"1183",111
"1184",0
"1185",16
"1186",9
"1187",11
"1188",23
"1189",36
"1190",6
"1191",13
"1192",35
"1193",10
"1194",6
"1195",20
"1196",20
"1197",17
"1198",11
"1199",30
"1200",20
"1201",29
"1202",17
"1203",14
"1204",32
"1205",24
"1206",24
"1207",24
"1208",14
"1209",50
"1210",19
"1211",17
"1212",24
"1213",14
"1214",37
"1215",11
"1216",5
"1217",20
"1218",28
"1219",20
"1220",26
"1221",13
"1222",65
"1223",30
"1224",9
"1225",29
"1226",9
"1227",18
"1228",15
"1229",32
"1230",15
"1231",29
"1232",25
"1233",44
"1234",93
"1235",25
"1236",27
"1237",34
"1238",0
"1239",18
"1240",6
"1241",17
"1242",14
"1243",17
"1244",14
"1245",13
"1246",62
"1247",18
"1248",21
"1249",25
"1250",3
"1251",19
"1252",33
"1253",0
"1254",17
"1255",41
"1256",31
"1257",18
"1258",11
"1259",36
"1260",42
"1261",16
"1262",35
"1263",15
"1264",0
"1265",16
"1266",18
"1267",17
"1268",0
"1269",106
"1270",14
"1271",28
"1272",14
"1273",23
"1274",31
"1275",42
"1276",45
"1277",51
"1278",15
"1279",2
"1280",0
"1281",20
"1282",9
"1283",30
"1284",2
"1285",22
"1286",30
"1287",0
"1288",37
"1289",22
"1290",17
"1291",28
"1292",45
"1293",36
"1294",12
"1295",13
"1296",22
"1297",46
"1298",39
"1299",34
"1300",8
"1301",29
"1302",10
"1303",107
"1304",15
"1305",20
"1306",14
"1307",13
"1308",30
"1309",30
"1310",2
"1311",29
"1312",14
"1313",26
"1314",54
"1315",50
"1316",10
"1317",42
"1318",5
"1319",25
"1320",11
"1321",0
"1322",32
"1323",60
"1324",12
"1325",38
"1326",24
"1327",30
"1328",8
"1329",13
"1330",31
"1331",7
"1332",18
"1333",18
"1334",20
"1335",23
"1336",33
"1337",5
"1338",65
"1339",29
"1340",28
"1341",14
"1342",47
"1343",12
"1344",23
"1345",53
"1346",17
"1347",24
"1348",85
"1349",26
"1350",19
"1351",11
"1352",17
"1353",19
"1354",18
"1355",36
"1356",76
"1357",6
"1358",26
"1359",33
"1360",6
"1361",20
"1362",26
"1363",43
"1364",19
"1365",81
"1366",18
"1367",41
"1368",25
"1369",10
"1370",48
"1371",65
"1372",18
"1373",20
"1374",1
"1375",25
"1376",20
"1377",15
"1378",15
"1379",18
"1380",8
"1381",14
"1382",32
"1383",27
"1384",11
"1385",46
"1386",11
"1387",39
"1388",23
"1389",24
"1390",14
"1391",14
"1392",8
"1393",19
"1394",27
"1395",24
"1396",23
"1397",24
"1398",21
"1399",13
"1400",46
"1401",26
"1402",56
"1403",46
"1404",74
"1405",28
"1406",47
"1407",6
"1408",13
"1409",29
"1410",22
"1411",13
"1412",22
"1413",18
"1414",19
"1415",26
"1416",31
"1417",10
"1418",23
"1419",17
"1420",25
"1421",50
"1422",32
"1423",18
"1424",24
"1425",26
"1426",27
"1427",46
"1428",6
"1429",53
"1430",10
"1431",25
"1432",2
"1433",78
"1434",15
"1435",40
"1436",16
"1437",8
"1438",13
"1439",15
"1440",41
"1441",37
"1442",24
"1443",26
"1444",33
"1445",19
"1446",16
"1447",45
"1448",17
"1449",14
"1450",10
"1451",21
"1452",45
"1453",14
"1454",37
"1455",13
"1456",24
"1457",45
"1458",22
"1459",15
"1460",46
"1461",32
"1462",31
"1463",39
"1464",3
"1465",18
"1466",11
"1467",35
"1468",45
"1469",55
"1470",38
"1471",32
"1472",25
"1473",7
"1474",21
"1475",18
"1476",11
"1477",18
"1478",30
"1479",32
"1480",1
"1481",34
"1482",79
"1483",24
"1484",38
"1485",30
"1486",0
"1487",28
"1488",16
"1489",8
"1490",24
"1491",17
"1492",38
"1493",20
"1494",0
"1495",0
"1496",11
"1497",4
"1498",24
"1499",23
"1500",0
"1501",49
"1502",38
"1503",11
"1504",13
"1505",31
"1506",36
"1507",11
"1508",0
"1509",50
"1510",20
"1511",9
"1512",12
"1513",17
"1514",10
"1515",0
"1516",82
"1517",0
"1518",30
"1519",1
"1520",14
"1521",19
"1522",14
"1523",26
"1524",19
"1525",74
"1526",42
"1527",33
"1528",13
"1529",35
"1530",19
"1531",11
"1532",19
"1533",21
"1534",27
"1535",0
"1536",32
"1537",80
"1538",28
"1539",43
"1540",35
"1541",17
"1542",12
"1543",0
"1544",35
"1545",0
"1546",20
"1547",45
"1548",35
"1549",44
"1550",17
"1551",37
"1552",42
"1553",22
"1554",15
"1555",26
"1556",14
"1557",19
"1558",20
"1559",31
"1560",13
"1561",39
"1562",18
"1563",28
"1564",44
"1565",41
"1566",23
"1567",0
"1568",11
"1569",42
"1570",29
"1571",16
"1572",67
"1573",23
"1574",31
"1575",38
"1576",36
"1577",36
"1578",64
"1579",6
"1580",27
"1581",15
"1582",29
"1583",33
"1584",32
"1585",28
"1586",13
"1587",24
"1588",25
"1589",17
"1590",23
"1591",60
"1592",81
"1593",16
"1594",23
"1595",45
"1596",37
"1597",15
"1598",11
"1599",17
"1600",25
"1601",17
"1602",5
"1603",25
"1604",19
"1605",0
"1606",14
"1607",16
"1608",30
"1609",16
"1610",11
"1611",15
"1612",0
"1613",2
"1614",38
"1615",18
"1616",46
"1617",7
"1618",7
"1619",21
"1620",33
"1621",26
"1622",6
"1623",52
"1624",0
"1625",19
