"","x"
"1096",20
"1097",17
"1098",82
"1099",30
"1100",19
"1101",26
"1102",19
"1103",74
"1104",42
"1105",33
"1106",35
"1107",19
"1108",19
"1109",21
"1110",27
"1111",32
"1112",80
"1113",28
"1114",43
"1115",35
"1116",17
"1117",35
"1118",20
"1119",45
"1120",35
"1121",44
"1122",17
"1123",37
"1124",42
"1125",22
"1126",15
"1127",26
"1128",19
"1129",20
"1130",31
"1131",39
"1132",18
"1133",28
"1134",44
"1135",41
"1136",23
"1137",42
"1138",29
"1139",16
"1140",67
"1141",23
"1142",31
"1143",38
"1144",36
"1145",36
"1146",64
"1147",27
"1148",15
"1149",29
"1150",33
"1151",32
"1152",28
"1153",24
"1154",25
"1155",17
"1156",23
"1157",60
"1158",81
"1159",16
"1160",23
"1161",45
"1162",37
"1163",15
"1164",17
"1165",25
"1166",17
"1167",25
"1168",19
"1169",16
"1170",30
"1171",16
"1172",15
"1173",38
"1174",18
"1175",46
"1176",21
"1177",33
"1178",26
"1179",52
"1180",19
"1181",24
"1182",31
"1183",28
"1184",20
"1185",30
"1186",26
"1187",45
"1188",31
"1189",61
"1190",31
"1191",27
"1192",54
"1193",56
"1194",18
"1195",15
"1196",20
"1197",42
"1198",35
"1199",61
"1200",22
"1201",17
"1202",42
"1203",17
"1204",38
"1205",18
"1206",25
"1207",15
"1208",32
"1209",28
"1210",23
"1211",38
"1212",35
"1213",25
"1214",25
"1215",44
"1216",22
"1217",28
"1218",23
"1219",28
"1220",70
"1221",55
"1222",17
"1223",47
"1224",18
"1225",16
"1226",26
"1227",17
"1228",21
"1229",25
"1230",15
"1231",18
"1232",48
"1233",38
"1234",40
"1235",33
"1236",32
"1237",21
"1238",69
"1239",19
"1240",20
"1241",50
"1242",28
"1243",17
"1244",24
"1245",53
"1246",55
"1247",37
"1248",25
"1249",39
"1250",25
"1251",28
"1252",15
"1253",25
"1254",98
"1255",18
"1256",18
"1257",27
"1258",31
"1259",20
"1260",16
"1261",32
"1262",49
"1263",29
"1264",21
"1265",15
"1266",24
"1267",21
"1268",35
"1269",22
"1270",19
"1271",23
"1272",25
"1273",15
"1274",23
"1275",33
"1276",38
"1277",23
"1278",19
"1279",15
"1280",47
"1281",23
"1282",29
"1283",51
"1284",23
"1285",36
"1286",58
"1287",50
"1288",18
"1289",74
"1290",25
"1291",43
"1292",20
"1293",27
"1294",31
"1295",28
"1296",16
"1297",51
"1298",48
"1299",35
"1300",20
"1301",16
"1302",35
"1303",55
"1304",31
"1305",25
"1306",41
"1307",38
"1308",19
"1309",19
"1310",28
"1311",18
"1312",18
"1313",47
"1314",17
"1315",29
"1316",19
"1317",18
"1318",26
"1319",87
"1320",25
"1321",22
"1322",30
"1323",24
"1324",22
"1325",43
"1326",51
"1327",49
"1328",15
"1329",22
"1330",21
"1331",39
"1332",15
"1333",20
"1334",38
"1335",18
"1336",19
"1337",51
"1338",17
"1339",26
"1340",27
"1341",30
"1342",89
"1343",34
"1344",23
"1345",35
"1346",35
"1347",17
"1348",29
"1349",26
"1350",67
"1351",47
"1352",23
"1353",16
"1354",53
"1355",43
"1356",22
"1357",23
"1358",40
"1359",34
"1360",46
"1361",16
"1362",23
"1363",15
"1364",27
"1365",26
"1366",24
"1367",24
"1368",16
"1369",22
"1370",22
"1371",15
"1372",75
"1373",56
"1374",24
"1375",15
"1376",38
"1377",29
"1378",31
"1379",17
"1380",39
"1381",22
"1382",34
"1383",30
"1384",157
"1385",51
"1386",18
"1387",44
"1388",19
"1389",18
"1390",86
"1391",24
"1392",21
"1393",18
"1394",51
"1395",99
"1396",16
"1397",26
"1398",17
"1399",31
"1400",24
"1401",17
"1402",36
"1403",72
"1404",49
"1405",19
"1406",26
"1407",90
"1408",20
"1409",17
"1410",17
"1411",36
"1412",29
"1413",15
"1414",64
"1415",18
"1416",22
"1417",65
"1418",109
"1419",41
"1420",25
"1421",27
"1422",36
"1423",36
"1424",39
"1425",36
"1426",38
"1427",55
"1428",18
"1429",35
"1430",20
"1431",55
"1432",34
"1433",21
"1434",18
"1435",51
"1436",66
"1437",25
"1438",37
"1439",41
"1440",55
"1441",50
"1442",46
"1443",29
"1444",49
"1445",18
"1446",40
"1447",17
"1448",35
"1449",24
"1450",43
"1451",20
"1452",65
"1453",24
"1454",24
"1455",29
"1456",22
"1457",96
"1458",39
"1459",60
"1460",22
"1461",68
"1462",24
"1463",21
"1464",20
"1465",17
"1466",19
"1467",22
"1468",32
"1469",30
"1470",47
"1471",22
"1472",24
"1473",30
"1474",16
"1475",20
"1476",29
"1477",38
"1478",55
"1479",39
"1480",16
"1481",16
"1482",26
"1483",21
"1484",33
"1485",61
"1486",21
"1487",48
"1488",41
"1489",19
"1490",19
"1491",25
"1492",17
"1493",22
"1494",18
"1495",22
"1496",41
"1497",19
"1498",17
"1499",21
"1500",17
"1501",59
"1502",32
"1503",15
"1504",57
"1505",20
"1506",44
"1507",15
"1508",34
"1509",23
"1510",27
"1511",43
"1512",18
"1513",15
"1514",15
"1515",60
"1516",15
"1517",65
"1518",20
"1519",107
"1520",15
"1521",16
"1522",18
"1523",28
"1524",42
"1525",19
"1526",26
"1527",43
"1528",22
"1529",37
"1530",18
"1531",21
"1532",18
"1533",63
"1534",48
"1535",30
"1536",86
"1537",16
"1538",25
"1539",43
"1540",24
"1541",20
"1542",17
"1543",27
